# time  latent                    sensible
0.      1.99936020473448506E-006  -30.
1800.   1.42454414587332047E-005  -15.0
3600.   2.64915227127319252E-005  0.
5400.   3.87376039667306440E-005  15.0
7200.   5.09836852207293695E-005  30.0
9000.   6.32297664747280883E-005  45.0
10800.  7.54758477287268071E-005  60.0
12600.  8.77219289827255259E-005  75.0
14400.  9.99680102367242446E-005  90.0
16200.  1.15962891874600132E-004  100.0
18000.  1.31957773512476006E-004  110.0
19800.  1.47952655150351879E-004  120.0
21600.  1.63947536788227780E-004  130.0
23400.  1.79942418426103654E-004  140.0
25200.  1.89939219449776085E-004  140.0
27000.  1.99936020473448489E-004  140.0
28800.  1.93538067818298140E-004  132.0
30600.  1.87140115163147790E-004  124.0
32400.  1.80742162507997441E-004  116.0
34200.  1.74344209852847091E-004  108.0
36000.  1.67946257197696742E-004  100.0
37800.  1.48752399232245693E-004  78.0
39600.  1.29558541266794618E-004  56.0
41400.  1.10364683301343569E-004  34.0
43200.  9.11708253358925209E-005  12.0
45000.  7.19769673704414589E-005  -10.0
46800.  5.39827255278310908E-005  -10.0
48600.  3.59884836852207294E-005  -10.0
50400.  1.79942418426103647E-005  -10.0
52200.  0.0000000000000000        -10.0
54000.  -1.79942418426103647E-005 -10.0
