AROME initial profile

%===================================================================
Altitude  u             v
(agl m)   (m s^{-1})  (m s^{-1})
%===================================================================
0.    0.       0.
10.   0.62891  2.0043
32.   0.47900  2.8149 
61.   0.40642  2.1994
98.   0.3701   1.5367
142.  0.41079  1.1443
194.  0.45571  0.89518
253.  0.63357  0.58396
319.  0.88065  0.58565
393.  1.0544   0.90651
473.  1.1816   1.0281
562.  1.4339   0.78263
658.  1.9651   0.21073
762.  2.7038  -0.30122
873.  3.5832  -0.44098
993.  4.6698  -0.20316
1120. 6.0923   0.17319
1256. 7.6224   0.35055
1401. 8.9639   0.10816
1553. 9.9621  -0.5313
1710. 10.707  -1.4805
1872. 11.197  -2.451
2039. 11.414  -3.0213
2212. 11.701  -3.1185
2392. 12.323  -2.9296
2578. 13.165  -2.6448
2772. 13.944  -2.4312
2975. 14.453  -2.4151
3186. 14.679  -2.6797
3407. 14.676  -3.0974
3638. 14.636  -3.3732
3879. 14.844  -3.2202
