Surface sensible (H) and latent (LE) heat fluxes
Fleur: rajout de la derniere ligne pour pouvoir aller jusqu'a la fin de simu
% =============================================
    TIME             H               LE
   (h UTC)      (W m^{-2})      (W m^{-2})
% =========================================
    5.00           -12.24           30.02
    5.50           -1.89           46.59
    6.00           13.34           66.22
    6.50           28.11           87.15
    7.00           41.96           111.25
    7.50           51.74           141.09
    8.00           60.28           173.00
    8.50           67.49           208.69
    9.00           79.09           243.38
    9.50           90.26           271.54
    10.00           100.00           296.95
    10.50           101.43           314.12
    11.00           101.66           325.98
    11.50           100.81           334.33
    12.00           101.24           337.75
    12.50           98.91           336.39
    13.00           93.88           326.99
    13.50           86.23           311.93
    14.00           77.40           291.23
    14.50           68.31           269.67
    15.00           60.91           250.52
    15.50           52.89           226.80
    16.00           42.72           198.20
    16.50           28.98           163.16
    17.00           13.83           123.84
    17.50            0.33           89.18
    18.00           -10.12           60.85
    18.50           -15.04           39.31
    19.00           -15.17           24.74
    19.50           -13.16           14.19
    20.00           -11.69            7.84
    20.50           -12.59            5.40
    21.00           -11.27            3.77
    21.50           -11.00            2.00
