numer_sta,date,rs_type,rs_comp,sasa,equip,ht_sta_mer,ht_baro_mer,ht_sond_mer,ht_sta_qual,vertical_sig,nbas,bbas,cl,cm,ch,tmer,nb_niv,nb_cis,
07145,20221226231546,177,4,8,7,168.000000,168.000000,168.000000,999999.000000,999999,999999,999999,999999,999999,999999,999999.000000,3479,3,
p_niv,altitude,t,td,dd,ff,dur_dep,dep_lat,dep_lon,
100650,168.000000,277.650000,277.650000,238,7.800000,0.000000,0.000000,0.000000,
100590,173.000000,277.650000,277.650000,239,7.800000,2.000000,0.000010,0.000020,
100540,177.000000,277.640000,277.640000,240,7.800000,4.000000,0.000080,0.000070,
100370,191.000000,277.550000,277.550000,245,8.100000,10.000000,0.000340,0.000200,
100210,203.000000,277.480000,277.480000,247,8.300000,12.000000,0.000460,0.000390,
100070,215.000000,277.980000,277.350000,247,8.500000,14.000000,0.000500,0.000630,
100000,221.000000,278.350000,277.100000,248,8.700000,16.000000,0.000550,0.000960,
99810,236.000000,278.350000,276.900000,249,8.900000,18.000000,0.000650,0.001180,
99710,244.000000,278.620000,276.710000,249,9.000000,20.000000,0.000790,0.001330,
99590,254.000000,278.940000,276.610000,250,9.300000,22.000000,0.000880,0.001670,
99480,264.000000,279.510000,276.100000,251,9.600000,24.000000,0.000960,0.002110,
99330,276.000000,279.700000,276.330000,253,10.100000,26.000000,0.000990,0.002460,
99250,283.000000,279.860000,276.430000,254,10.500000,28.000000,0.000940,0.002710,
99140,291.000000,279.810000,276.300000,255,11.000000,30.000000,0.000900,0.003010,
99040,300.000000,279.720000,276.150000,256,11.300000,32.000000,0.000910,0.003390,
98900,312.000000,279.630000,276.020000,257,11.600000,34.000000,0.000980,0.003790,
98770,323.000000,279.540000,275.900000,258,11.800000,36.000000,0.001110,0.004120,
98630,334.000000,279.490000,275.790000,260,12.000000,38.000000,0.001190,0.004310,
98520,343.000000,279.420000,275.720000,261,12.100000,40.000000,0.001160,0.004560,
98400,353.000000,279.370000,275.650000,262,12.200000,42.000000,0.001130,0.004990,
98280,363.000000,279.310000,275.580000,263,12.300000,44.000000,0.001230,0.005370,
98140,375.000000,279.210000,275.490000,263,12.300000,46.000000,0.001330,0.005580,
97990,387.000000,279.170000,275.420000,263,12.300000,48.000000,0.001320,0.005870,
97880,397.000000,279.050000,275.380000,263,12.400000,50.000000,0.001340,0.006330,
97770,406.000000,278.940000,275.330000,264,12.400000,52.000000,0.001440,0.006730,
97650,416.000000,278.870000,275.270000,264,12.500000,54.000000,0.001530,0.006960,
97510,428.000000,278.760000,275.230000,265,12.600000,56.000000,0.001510,0.007170,
97360,440.000000,278.660000,275.170000,266,12.800000,58.000000,0.001430,0.007560,
