z[m]	p[mb]	tls[K/s]	q[kg/kg/s]	u[m/s]	v[m/s]	w[m/s]
 278.000000,	40.000000,	1010.000000,	day,	nlevels,	pres0
57.679786 -999.000000 5.940e-06 -2.355e-09 -1.112310 0.092639 -0.000000
67.679786 -999.000000 5.940e-06 -2.355e-09 -1.112310 0.092639 -0.000000
77.679786 -999.000000 5.940e-06 -2.355e-09 -1.112310 0.092639 -0.001378
299.150411 -999.000000 4.851e-06 5.254e-09 -2.009880 0.142639 -0.004014
526.255483 -999.000000 -1.455e-06 -4.047e-10 -3.065440 -0.101596 -0.007098
758.579602 -999.000000 -2.373e-06 -4.151e-09 -4.087830 -1.286380 -0.010532
996.528798 -999.000000 7.044e-06 -2.212e-08 -5.141270 -2.591710 -0.014710
1240.209264 -999.000000 9.877e-06 -3.832e-08 -6.296680 -3.355710 -0.019180
1489.830261 -999.000000 -7.682e-06 -2.598e-08 -7.355160 -3.585450 -0.023318
1745.691627 -999.000000 -2.037e-05 -6.032e-09 -8.009580 -3.666340 -0.026811
2008.205639 -999.000000 -2.408e-05 3.734e-09 -8.229860 -3.839610 -0.029631
2277.678379 -999.000000 -2.255e-05 7.404e-09 -8.160060 -4.141210 -0.031838
2554.519003 -999.000000 -1.710e-05 7.131e-09 -8.038160 -4.435960 -0.033425
2839.139786 -999.000000 -1.001e-05 3.927e-09 -7.769850 -4.680500 -0.034411
3132.052951 -999.000000 -3.175e-06 9.566e-10 -7.476560 -4.879790 -0.034886
3433.555213 -999.000000 3.712e-07 -4.278e-09 -7.125540 -4.803320 -0.035006
3744.171286 -999.000000 3.302e-06 -8.025e-09 -6.766180 -4.658970 -0.034238
4064.304077 -999.000000 4.781e-06 -9.394e-09 -6.403130 -4.348250 -0.031466
4394.981156 -999.000000 4.539e-06 -9.924e-09 -6.045140 -4.061510 -0.025994
4737.323788 -999.000000 7.936e-06 -1.109e-08 -5.714720 -4.035930 -0.017842
5092.662504 -999.000000 1.026e-05 -1.241e-08 -5.456880 -4.049510 -0.007356
5461.924926 -999.000000 9.632e-06 -1.441e-08 -5.490680 -4.005190 0.004768
5846.126128 -999.000000 8.149e-06 -1.623e-08 -5.583010 -3.926370 0.017827
6246.905847 -999.000000 5.066e-06 -1.496e-08 -5.639410 -3.771090 0.031109
6665.700806 -999.000000 1.474e-06 -1.323e-08 -5.650500 -3.650860 0.043710
7104.144492 -999.000000 -1.653e-06 -8.132e-09 -5.547390 -3.711250 0.054573
7564.182729 -999.000000 -3.647e-06 -4.575e-09 -5.372200 -3.766940 0.062833
8048.373503 -999.000000 -5.466e-06 -5.278e-09 -5.095050 -3.650050 0.067657
8559.176421 -999.000000 -7.658e-06 -5.017e-09 -4.675330 -3.435400 0.067921
9099.761639 -999.000000 -8.506e-06 -3.323e-09 -3.988940 -3.126980 0.062395
9673.911484 -999.000000 -7.858e-06 -1.950e-09 -3.413940 -2.664110 0.051189
10285.934557 -999.000000 -8.308e-06 -9.924e-10 -3.319220 -1.944470 0.036246
10941.143606 -999.000000 -9.955e-06 -3.671e-10 -3.292170 -0.865593 0.020487
11647.627997 -999.000000 -6.624e-06 -1.025e-10 -2.990730 0.638611 0.006731
12415.418233 -999.000000 -9.388e-07 1.934e-10 -2.788440 2.335910 -0.004041
13259.147011 -999.000000 4.142e-06 3.575e-11 -2.231590 3.132060 -0.010572
14200.202741 -999.000000 -3.942e-06 -7.176e-12 2.105200 2.419810 -0.009751
15274.515956 -999.000000 3.587e-06 1.683e-11 4.144800 2.099860 -0.003733
16557.609796 -999.000000 1.092e-05 9.279e-12 6.434800 1.618410 0.000000
18198.498834 -999.000000 -0.000e+00 -0.000e+00 5.382920 1.942210 0.000000
 278.020833,	40.000000,	1010.000000,	day,	nlevels,	pres0
61.262219 -999.000000 3.525e-06 -1.526e-09 -1.137560 0.075013 -0.000000
71.262219 -999.000000 3.525e-06 -1.526e-09 -1.137560 0.075013 -0.000000
81.262219 -999.000000 3.525e-06 -1.526e-09 -1.137560 0.075013 -0.000677
302.938983 -999.000000 3.818e-06 3.629e-09 -2.103320 0.045513 -0.002373
530.040932 -999.000000 -9.404e-07 -1.319e-09 -3.153020 -0.387433 -0.004553
762.568066 -999.000000 8.815e-07 -7.542e-09 -3.988380 -1.721890 -0.007177
1000.520385 -999.000000 1.028e-05 -2.653e-08 -4.923210 -2.981220 -0.010476
1244.200851 -999.000000 1.143e-05 -3.955e-08 -6.050360 -3.556390 -0.013920
1493.921794 -999.000000 -4.982e-06 -2.485e-08 -7.085010 -3.661640 -0.016908
1749.783160 -999.000000 -1.781e-05 -5.723e-09 -7.678910 -3.704950 -0.019291
2012.300295 -999.000000 -2.226e-05 3.014e-09 -7.809360 -3.878010 -0.021187
2281.669967 -999.000000 -2.169e-05 6.290e-09 -7.670920 -4.168210 -0.022762
2558.513714 -999.000000 -1.733e-05 5.723e-09 -7.483090 -4.466740 -0.024031
2843.131374 -999.000000 -1.058e-05 6.087e-10 -7.171900 -4.735250 -0.025035
3135.838400 -999.000000 -3.831e-06 -3.748e-09 -6.857390 -4.955590 -0.025901
3437.240716 -999.000000 -1.810e-07 -7.345e-09 -6.617490 -4.864210 -0.026666
3747.550705 -999.000000 2.935e-06 -9.345e-09 -6.396600 -4.705360 -0.026827
4067.683496 -999.000000 5.890e-06 -9.464e-09 -6.222220 -4.413050 -0.025136
4398.154436 -999.000000 6.425e-06 -9.279e-09 -6.040250 -4.155000 -0.020816
4740.294054 -999.000000 8.039e-06 -1.069e-08 -5.780660 -4.181550 -0.013629
5095.429755 -999.000000 9.038e-06 -1.276e-08 -5.570130 -4.247160 -0.003812
5464.482915 -999.000000 8.429e-06 -1.511e-08 -5.640610 -4.234090 0.007897
5848.684117 -999.000000 7.218e-06 -1.750e-08 -5.772130 -4.173990 0.020792
6249.260821 -999.000000 4.563e-06 -1.714e-08 -5.885720 -4.008570 0.034239
6667.746572 -999.000000 1.112e-06 -1.590e-08 -5.942350 -3.873550 0.047369
7105.987244 -999.000000 -2.570e-06 -9.718e-09 -5.831200 -3.929810 0.058995
7565.922411 -999.000000 -5.295e-06 -5.111e-09 -5.625230 -3.980480 0.067945
8050.013240 -999.000000 -7.433e-06 -5.297e-09 -5.299730 -3.847010 0.072971
8560.610019 -999.000000 -9.678e-06 -4.327e-09 -4.824890 -3.603510 0.072760
9100.989099 -999.000000 -1.012e-05 -2.973e-09 -4.081430 -3.245120 0.066099
9674.835983 -999.000000 -8.963e-06 -1.764e-09 -3.398830 -2.733480 0.053215
10286.548287 -999.000000 -9.021e-06 -8.932e-10 -3.086970 -1.986110 0.036256
10941.655828 -999.000000 -1.064e-05 -2.847e-10 -2.841620 -0.919615 0.018810
11647.627997 -999.000000 -7.021e-06 2.922e-13 -2.512470 0.582743 0.004814
12415.007518 -999.000000 -1.105e-06 2.152e-10 -2.479030 2.379860 -0.004381
13258.325581 -999.000000 2.974e-06 4.263e-11 -2.150590 3.260760 -0.008789
14199.179858 -999.000000 -3.906e-06 -1.188e-11 1.954450 2.726190 -0.007419
15273.489949 -999.000000 3.604e-06 1.468e-11 3.877910 2.447700 -0.002694
16556.788366 -999.000000 1.015e-05 7.201e-12 6.207280 1.830940 0.000000
18197.783596 -999.000000 -0.000e+00 -0.000e+00 5.155710 1.930670 0.000000
 278.041667,	40.000000,	1010.000000,	day,	nlevels,	pres0
64.844653 -999.000000 8.548e-07 -1.045e-09 -1.163930 0.056551 0.000000
74.844653 -999.000000 8.548e-07 -1.045e-09 -1.163930 0.056551 0.000000
84.844653 -999.000000 8.548e-07 -1.045e-09 -1.163930 0.056551 0.000198
306.724432 -999.000000 2.813e-06 1.908e-09 -2.197280 -0.050153 -0.000383
533.932573 -999.000000 -7.453e-07 -1.376e-09 -3.240740 -0.671691 -0.001485
766.456584 -999.000000 3.070e-06 -9.695e-09 -3.888840 -2.155690 -0.003163
1004.511973 -999.000000 1.260e-05 -2.914e-08 -4.702870 -3.367960 -0.005465
1248.192439 -999.000000 1.263e-05 -3.852e-08 -5.801900 -3.753880 -0.007779
1497.916505 -999.000000 -1.929e-06 -2.121e-08 -6.814640 -3.735620 -0.009538
1753.774748 -999.000000 -1.460e-05 -3.271e-09 -7.348550 -3.742560 -0.010736
2016.291882 -999.000000 -1.957e-05 4.188e-09 -7.389170 -3.915760 -0.011663
2285.661554 -999.000000 -1.983e-05 6.704e-09 -7.181940 -4.194680 -0.012561
2562.502178 -999.000000 -1.648e-05 5.600e-09 -6.927550 -4.497420 -0.013501
2847.023015 -999.000000 -1.005e-05 -1.776e-09 -6.572060 -4.790340 -0.014573
3139.623849 -999.000000 -3.566e-06 -7.874e-09 -6.235050 -5.032110 -0.015875
3440.823150 -999.000000 2.724e-07 -1.007e-08 -6.105580 -4.925990 -0.017419
3751.133139 -999.000000 3.722e-06 -1.053e-08 -6.022790 -4.752690 -0.018591
4070.959846 -999.000000 7.940e-06 -9.154e-09 -6.037310 -4.478760 -0.018162
4401.224648 -999.000000 8.939e-06 -7.932e-09 -6.031670 -4.249370 -0.015161
4743.261196 -999.000000 8.881e-06 -9.647e-09 -5.843200 -4.327850 -0.009089
5098.190759 -999.000000 8.648e-06 -1.248e-08 -5.679890 -4.445490 -0.000089
5467.143973 -999.000000 7.958e-06 -1.524e-08 -5.786650 -4.463660 0.011052
5851.139037 -999.000000 6.863e-06 -1.794e-08 -5.957130 -4.422200 0.023630
6251.615795 -999.000000 4.491e-06 -1.855e-08 -6.127610 -4.246720 0.037078
6669.898531 -999.000000 1.114e-06 -1.815e-08 -6.229550 -4.096950 0.050567
7107.929941 -999.000000 -3.102e-06 -1.096e-08 -6.110960 -4.149150 0.062796
7567.662093 -999.000000 -6.546e-06 -5.132e-09 -5.874710 -4.194920 0.072306
8051.549907 -999.000000 -9.048e-06 -4.709e-09 -5.501370 -4.044500 0.077427
8561.837479 -999.000000 -1.135e-05 -3.510e-09 -4.971920 -3.771790 0.076676
9102.013544 -999.000000 -1.140e-05 -2.602e-09 -4.172150 -3.363150 0.068839
9675.755797 -999.000000 -9.706e-06 -1.532e-09 -3.382630 -2.802420 0.054201
10287.160455 -999.000000 -9.261e-06 -7.665e-10 -2.854000 -2.026780 0.035176
10942.064982 -999.000000 -1.093e-05 -1.831e-10 -2.390480 -0.972424 0.016023
11647.629559 -999.000000 -7.081e-06 9.935e-11 -2.033840 0.527830 0.001782
12414.496858 -999.000000 -7.974e-07 2.535e-10 -2.169660 2.424090 -0.005770
13257.508836 -999.000000 2.191e-06 5.044e-11 -2.070100 3.389220 -0.007834
14198.156975 -999.000000 -3.682e-06 -1.597e-11 1.803000 3.032340 -0.005541
15272.570135 -999.000000 3.667e-06 1.335e-11 3.611000 2.795630 -0.001779
16555.970060 -999.000000 9.457e-06 7.373e-12 5.979790 2.043480 0.000001
18197.269812 -999.000000 -0.000e+00 -0.000e+00 4.928500 1.919140 0.000001
 278.062500,	40.000000,	1010.000000,	day,	nlevels,	pres0
68.117880 -999.000000 -1.909e-08 -7.949e-10 -1.145470 0.087553 0.000000
78.117880 -999.000000 -1.909e-08 -7.949e-10 -1.145470 0.087553 0.000000
88.117880 -999.000000 -1.909e-08 -7.949e-10 -1.145470 0.087553 0.000794
310.103851 -999.000000 2.634e-06 9.377e-10 -2.179090 -0.081003 0.000937
537.308869 -999.000000 1.342e-08 -1.571e-09 -3.188500 -0.769441 0.000501
769.836003 -999.000000 4.584e-06 -1.086e-08 -3.724550 -2.250950 -0.000544
1007.788322 -999.000000 1.402e-05 -2.956e-08 -4.505010 -3.384930 -0.002058
1251.365719 -999.000000 1.342e-05 -3.456e-08 -5.639340 -3.660190 -0.003373
1500.986716 -999.000000 2.471e-06 -1.794e-08 -6.696780 -3.590480 -0.003995
1756.745013 -999.000000 -8.645e-06 -3.416e-09 -7.240340 -3.612990 -0.004026
2019.155955 -999.000000 -1.414e-05 2.274e-09 -7.276390 -3.787020 -0.003852
2288.422558 -999.000000 -1.605e-05 4.739e-09 -7.053900 -4.034460 -0.003770
2565.063290 -999.000000 -1.481e-05 4.243e-09 -6.769450 -4.319110 -0.003973
2849.374866 -999.000000 -1.001e-05 -3.050e-09 -6.432560 -4.615720 -0.004651
3141.772685 -999.000000 -4.992e-06 -8.674e-09 -6.121890 -4.864530 -0.005876
3442.768970 -999.000000 -8.394e-07 -9.744e-09 -6.029510 -4.772230 -0.007529
3752.972767 -999.000000 3.089e-06 -9.229e-09 -5.990960 -4.613130 -0.008936
4072.596459 -999.000000 7.718e-06 -6.833e-09 -6.082310 -4.350330 -0.008899
4402.658246 -999.000000 9.179e-06 -4.868e-09 -6.155410 -4.127740 -0.006444
4744.285641 -999.000000 7.971e-06 -6.558e-09 -6.029820 -4.194170 -0.001061
5099.012189 -999.000000 6.035e-06 -9.421e-09 -5.907970 -4.305990 0.007141
5467.756141 -999.000000 4.958e-06 -1.258e-08 -5.979310 -4.360420 0.017392
5851.551313 -999.000000 4.009e-06 -1.541e-08 -6.111250 -4.357310 0.029072
6251.821934 -999.000000 2.164e-06 -1.717e-08 -6.295660 -4.191470 0.041760
6669.998477 -999.000000 -6.985e-07 -1.822e-08 -6.410740 -4.048310 0.054738
7107.826872 -999.000000 -4.936e-06 -1.148e-08 -6.256530 -4.123240 0.066788
7567.356009 -999.000000 -8.940e-06 -5.416e-09 -5.966510 -4.208620 0.076244
8050.831546 -999.000000 -1.186e-05 -4.408e-09 -5.532770 -4.131740 0.081156
8561.019173 -999.000000 -1.366e-05 -3.085e-09 -4.930800 -3.926640 0.079567
9100.990661 -999.000000 -1.258e-05 -2.258e-09 -4.034860 -3.540010 0.070194
9674.323760 -999.000000 -1.045e-05 -1.261e-09 -3.143480 -2.969250 0.053511
10285.626911 -999.000000 -9.877e-06 -4.795e-10 -2.521570 -2.153020 0.032264
10940.122284 -999.000000 -1.095e-05 2.419e-11 -1.941890 -1.091480 0.011523
11645.480723 -999.000000 -6.583e-06 1.260e-10 -1.550410 0.375735 -0.003025
12412.038814 -999.000000 -6.274e-07 2.343e-10 -1.861490 2.337640 -0.009375
13254.641640 -999.000000 5.662e-07 5.334e-11 -1.956030 3.363400 -0.009402
14195.188271 -999.000000 -2.722e-06 -1.922e-11 1.771880 3.125670 -0.005655
15269.704500 -999.000000 4.328e-06 7.979e-12 3.516560 2.856660 -0.001638
16553.719716 -999.000000 8.808e-06 8.890e-12 5.908130 1.960830 0.000000
18196.042352 -999.000000 -0.000e+00 -0.000e+00 4.848080 1.628880 0.000000
 278.083333,	40.000000,	1010.000000,	day,	nlevels,	pres0
71.291160 -999.000000 -3.590e-07 -6.757e-10 -1.127690 0.119120 0.000000
81.291160 -999.000000 -3.590e-07 -6.757e-10 -1.127690 0.119120 0.000000
91.291160 -999.000000 -3.590e-07 -6.757e-10 -1.127690 0.119120 0.000978
313.480146 -999.000000 2.412e-06 2.316e-10 -2.161400 -0.111866 0.001308
540.685164 -999.000000 8.091e-07 -2.523e-09 -3.136300 -0.867522 0.000947
773.112352 -999.000000 6.552e-06 -1.273e-08 -3.560100 -2.346840 -0.000043
1011.061549 -999.000000 1.655e-05 -3.073e-08 -4.308060 -3.402990 -0.001343
1254.642069 -999.000000 1.615e-05 -3.154e-08 -5.478190 -3.567660 -0.002232
1504.053805 -999.000000 8.375e-06 -1.609e-08 -6.578980 -3.446080 -0.002291
1759.812101 -999.000000 -1.654e-06 -4.812e-09 -7.131570 -3.483340 -0.001727
2022.023152 -999.000000 -7.716e-06 -6.098e-10 -7.162970 -3.657830 -0.001018
2291.186685 -999.000000 -1.113e-05 1.960e-09 -6.925330 -3.873620 -0.000517
2567.621279 -999.000000 -1.202e-05 2.172e-09 -6.611080 -4.139990 -0.000525
2851.829785 -999.000000 -9.024e-06 -4.851e-09 -6.293350 -4.440250 -0.001331
3144.127659 -999.000000 -5.634e-06 -9.943e-09 -6.009580 -4.696040 -0.002982
3444.814737 -999.000000 -1.269e-06 -9.993e-09 -5.954730 -4.617640 -0.005230
3754.715572 -999.000000 3.080e-06 -8.729e-09 -5.960840 -4.472830 -0.007350
4074.133127 -999.000000 8.033e-06 -5.079e-09 -6.129730 -4.221090 -0.008170
4403.988775 -999.000000 9.984e-06 -2.109e-09 -6.282070 -4.005240 -0.006727
4745.410032 -999.000000 7.822e-06 -3.762e-09 -6.218860 -4.059850 -0.002470
5099.827372 -999.000000 4.248e-06 -6.659e-09 -6.137950 -4.166030 0.004526
5468.268364 -999.000000 2.547e-06 -1.026e-08 -6.173840 -4.256770 0.013540
5852.060412 -999.000000 1.480e-06 -1.323e-08 -6.267270 -4.292090 0.024008
6252.024949 -999.000000 -1.155e-07 -1.610e-08 -6.465390 -4.135900 0.035698
6669.998477 -999.000000 -2.634e-06 -1.844e-08 -6.593380 -3.999310 0.048007
7107.623857 -999.000000 -6.970e-06 -1.189e-08 -6.403100 -4.096950 0.059774
7566.843787 -999.000000 -1.152e-05 -5.938e-09 -6.058830 -4.221860 0.069217
8050.114747 -999.000000 -1.484e-05 -4.289e-09 -5.564170 -4.218580 0.073957
8560.097797 -999.000000 -1.612e-05 -2.824e-09 -4.889240 -4.081120 0.071729
9099.863147 -999.000000 -1.380e-05 -2.155e-09 -3.897130 -3.716440 0.061144
9672.993231 -999.000000 -1.114e-05 -1.081e-09 -2.903840 -3.135720 0.042811
10283.990298 -999.000000 -1.024e-05 -2.574e-10 -2.188840 -2.278750 0.019991
10938.174902 -999.000000 -1.040e-05 2.194e-10 -1.493140 -1.209870 -0.001494
11643.227257 -999.000000 -5.471e-06 1.542e-10 -1.066870 0.224130 -0.015202
12409.482387 -999.000000 9.537e-08 2.118e-10 -1.553300 2.251210 -0.018837
13251.879074 -999.000000 -6.817e-07 5.326e-11 -1.841940 3.337220 -0.014812
14192.221128 -999.000000 -1.620e-06 -2.101e-11 1.740840 3.218810 -0.007479
15267.043442 -999.000000 5.057e-06 -4.982e-13 3.422210 2.917760 -0.001863
16551.569319 -999.000000 8.176e-06 1.083e-11 5.836490 1.878190 -0.000002
18194.711823 -999.000000 -0.000e+00 -0.000e+00 4.767650 1.338630 -0.000002
 278.104167,	40.000000,	1010.000000,	day,	nlevels,	pres0
72.521744 -999.000000 -3.148e-07 -2.257e-10 -1.099810 0.177694 0.000000
82.521744 -999.000000 -3.148e-07 -2.257e-10 -1.099810 0.177694 0.000000
92.521744 -999.000000 -3.148e-07 -2.257e-10 -1.099810 0.177694 0.001085
314.707606 -999.000000 2.471e-06 -3.682e-10 -2.156200 -0.064821 0.001525
541.915747 -999.000000 1.738e-06 -3.693e-09 -3.096100 -0.835960 0.001204
774.336689 -999.000000 8.344e-06 -1.436e-08 -3.459490 -2.298980 0.000253
1012.189063 -999.000000 1.755e-05 -2.981e-08 -4.240770 -3.284110 -0.000853
1255.766460 -999.000000 1.728e-05 -2.783e-08 -5.481770 -3.352190 -0.001355
1505.078249 -999.000000 1.165e-05 -1.598e-08 -6.662630 -3.230250 -0.000912
1760.633531 -999.000000 1.681e-06 -7.129e-09 -7.235260 -3.307550 0.000172
