day	sst(K)	H(W/m2)	LE(W/m2)	TAU(m2/s2)
278.500 300.065 60.242 252.0765 0.000
278.510 301.137 65.137 266.491 0.000
278.531 302.267 74.926 295.291 0.000
278.552 303.214 80.371 317.164 0.000
278.573 304.161 85.815 339.036 0.000
278.594 304.680 96.974 364.009 0.000
278.615 305.199 108.133 388.981 0.000
278.635 305.623 94.516 368.136 0.000
278.656 306.048 80.898 347.291 0.000
278.677 305.936 78.534 337.478 0.000
278.698 305.824 76.171 327.666 0.000
278.719 305.745 65.652 314.442 0.000
278.740 305.666 55.134 301.219 0.000
278.760 305.076 34.719 263.858 0.000
278.781 304.487 14.305 226.498 0.000
278.802 303.720 5.024 183.003 0.000
278.823 302.954 -4.257 139.509 0.000
278.844 302.391 -4.790 93.472 0.000
278.865 301.829 -5.322 47.436 0.000
278.885 301.006 -3.715 32.777 0.000
278.906 300.183 -2.108 18.118 0.000
278.927 299.819 -1.785 16.972 0.000
278.948 299.454 -1.463 15.827 0.000
278.969 299.216 -1.324 14.748 0.000
278.990 298.977 -1.185 13.670 0.000
279.010 298.810 -1.376 13.504 0.000
279.031 298.642 -1.568 13.339 0.000
279.052 298.483 -1.787 13.003 0.000
279.073 298.324 -2.007 12.667 0.000
279.094 298.206 -1.992 12.190 0.000
279.115 298.089 -1.976 11.714 0.000
279.135 298.023 -2.229 11.261 0.000
279.156 297.958 -2.482 10.808 0.000
279.177 297.896 -2.594 10.890 0.000
279.198 297.835 -2.707 10.972 0.000
279.219 297.778 -3.225 10.265 0.000
279.240 297.721 -3.744 9.559 0.000
279.260 297.650 -2.709 9.754 0.000
279.281 297.579 -1.674 9.949 0.000
279.302 297.452 -1.098 9.891 0.000
279.323 297.325 -0.523 9.834 0.000
279.344 297.228 -0.371 9.761 0.000
279.365 297.132 -0.220 9.689 0.000
279.385 297.056 4.770 22.524 0.000
279.406 296.981 9.759 35.359 0.000
279.427 298.112 25.131 78.173 0.000
279.448 299.243 40.503 120.988 0.000
279.469 300.412 53.774 163.914 0.000
279.490 301.582 67.046 206.839 0.000
279.510 302.558 82.833 246.160 0.000
279.531 303.533 98.620 285.480 0.000
279.552 304.435 103.504 312.552 0.000
279.573 305.337 108.388 339.624 0.000
279.594 305.653 110.828 345.431 0.000
279.615 305.969 113.269 351.238 0.000
279.635 306.297 108.848 356.039 0.000
279.656 306.626 104.427 360.840 0.000
279.677 306.111 81.115 334.268 0.000
279.698 305.597 57.802 307.696 0.000
279.719 305.154 43.343 302.128 0.000
279.740 304.711 28.885 296.561 0.000
279.760 303.958 18.266 255.831 0.000
279.781 303.205 7.648 215.102 0.000
279.802 302.615 0.056 164.292 0.000
279.823 302.025 -7.536 113.483 0.000
279.844 301.406 -6.296 77.444 0.000
279.865 300.787 -5.055 41.406 0.000
279.885 300.170 -3.883 30.369 0.000
279.906 299.552 -2.712 19.332 0.000
279.927 299.308 -2.415 18.358 0.000
279.948 299.065 -2.117 17.383 0.000
279.969 298.855 -1.531 16.399 0.000
