z[m]    p[mb]   tp[K]   q[g/kg] u[m/s]  v[m/s]
 278.500000,	180.000000,	1010.000000,	day,	levels,	pres0
50.000000 1005.799988 298.546042 20.004177 -0.108189 3.098111
58.599998 1004.820007 297.590675 18.872008 -0.411267 1.649503
105.300003 999.500000 297.332504 18.237144 -0.496103 2.552231
143.800003 995.140015 297.453959 18.149706 -0.389685 2.772751
192.800003 989.599976 297.567950 17.953764 -0.304673 2.481365
230.399994 985.380005 297.760961 17.983472 -0.229963 2.187948
279.299988 979.890015 297.814445 17.730127 0.076779 2.198660
327.000000 974.570007 297.885380 17.402620 0.304673 2.481365
366.899994 970.130005 298.032374 17.074699 0.188342 2.693423
418.000000 964.479980 298.308126 16.731841 -0.602944 2.836628
454.200012 960.489990 298.955198 16.913512 -1.361971 2.673020
503.299988 955.109985 300.256314 17.636587 -2.373821 2.292372
548.500000 950.210022 300.911191 17.617988 -2.973707 1.648353
596.500000 945.020020 301.331857 17.210080 -3.043381 0.988854
644.299988 939.880005 301.578074 16.557357 -3.268290 0.937167
688.900024 935.099976 301.987369 16.192101 -3.687124 0.919303
737.500000 929.929993 302.333618 15.811059 -4.077539 0.428567
783.200012 925.080017 302.806324 15.744292 -4.482876 -0.392201
830.400024 920.109985 303.406112 15.862021 -4.695109 -0.997976
881.799988 914.719971 303.557070 15.514880 -5.121000 -0.902971
923.000000 910.409973 303.587113 15.190351 -5.877549 -0.514219
976.400024 904.859985 303.593449 14.802111 -6.595979 -0.230337
1027.500000 899.559998 303.650172 14.452851 -7.090270 -0.371585
1069.599976 895.210022 303.658359 14.126110 -7.670699 -0.671099
1116.300049 890.409973 303.753256 13.887657 -8.635151 -1.060263
1167.599976 885.159973 303.873682 13.646890 -9.679346 -1.533058
1221.900024 879.630005 304.262949 13.595954 -10.601574 -2.060737
1267.000000 875.049988 304.540720 13.518209 -10.955253 -2.328611
1320.699951 869.630005 304.655386 13.296286 -10.734405 -1.892765
1367.900024 864.890015 304.693941 13.090016 -10.074421 -1.595632
1413.300049 860.340027 304.809204 12.926873 -9.284270 -1.470484
1465.300049 855.159973 304.865274 12.776791 -8.147506 -1.583715
1518.900024 849.840027 304.938176 12.626901 -7.083159 -1.766030
1571.699951 844.640015 305.295246 12.701083 -6.598503 -2.017365
1615.599976 840.320007 305.511858 12.722412 -6.694133 -2.046602
1669.800049 835.020020 305.633231 12.546640 -6.276973 -2.039512
1723.099976 829.840027 305.913689 12.461090 -6.014033 -2.188929
1772.900024 825.010010 306.075929 12.311682 -6.212132 -2.509864
1827.400024 819.760010 306.253947 12.115718 -6.443534 -2.735118
1880.900024 814.640015 306.484826 12.032391 -6.797308 -3.169637
1926.900024 810.260010 306.649533 11.957868 -7.250462 -3.380946
1980.000000 805.210022 306.666120 11.747078 -7.673781 -3.416588
2031.599976 800.330017 306.762527 11.589895 -7.824291 -3.321215
2086.500000 795.159973 306.872243 11.393219 -7.673781 -3.416588
2142.899902 789.890015 306.964027 11.134015 -7.395354 -3.768121
2193.600098 785.159973 307.330774 11.126011 -7.188011 -4.150000
2248.899902 780.039978 307.347803 10.786791 -6.715205 -4.529463
2304.100098 774.950012 307.772928 10.724993 -6.038428 -3.921401
2360.300049 769.799988 308.230795 10.590339 -5.571588 -3.347748
2410.000000 765.270020 308.373441 10.277638 -5.427508 -3.391483
2468.300049 759.979980 308.477157 9.935930 -5.652149 -3.957678
2520.699951 755.250000 308.713953 9.727927 -5.270994 -3.971979
2580.100098 749.919983 309.155008 9.561664 -4.728065 -3.693969
2637.800049 744.770020 309.242411 9.252793 -4.472359 -3.370164
2688.300049 740.280029 309.526770 9.053211 -4.505336 -3.154670
2745.800049 735.200012 309.656197 8.598768 -5.057287 -3.038725
2806.199951 729.900024 310.264459 8.480142 -5.435140 -2.769342
2863.000000 724.950012 310.704132 8.381253 -5.523029 -2.344387
2921.899902 719.849976 310.936333 8.203734 -5.974915 -2.293555
2980.600098 714.789978 311.365821 8.067947 -5.841259 -2.360022
3040.000000 709.700012 311.406930 7.627979 -5.748540 -2.322561
3098.100098 704.739990 311.412962 7.173195 -6.014033 -2.188929
3155.000000 699.909973 311.438860 6.727823 -6.254989 -2.401065
3214.800049 694.869995 312.060723 6.505421 -6.326146 -3.223333
3269.699951 690.260010 312.388244 6.501292 -6.085888 -3.656770
3336.399902 684.710022 313.098832 6.553541 -5.802370 -3.350000
3390.800049 680.219971 313.665904 6.537164 -6.397569 -2.584786
3452.899902 675.109985 314.197299 6.481958 -6.598011 -1.645069
3514.300049 670.099976 314.295186 6.337650 -6.499731 -1.146078
3575.500000 665.140015 314.435269 6.232706 -6.455774 -1.372217
3641.399902 659.830017 314.559651 6.211156 -6.440453 -1.846770
3704.100098 654.799988 314.639021 6.215187 -6.664888 -1.785851
3767.500000 649.739990 314.885053 6.235074 -6.954666 -1.863497
3829.699951 644.820007 315.309246 6.146060 -6.657395 -2.163119
3893.699951 639.789978 315.675041 6.087705 -6.467185 -2.101316
3957.300049 634.830017 315.865697 6.028306 -6.728832 -1.929462
4020.699951 629.900024 316.364991 6.069036 -7.001853 -2.687760
4086.399902 624.830017 316.810712 6.060609 -6.953879 -2.809550
4151.500000 619.849976 316.951520 5.998948 -6.671817 -2.428343
4212.399902 615.219971 317.631550 6.106137 -6.664888 -1.785851
4281.799805 609.979980 317.856301 6.033197 -6.535769 -0.918543
4350.700195 604.820007 318.271208 6.084206 -6.191503 -0.324483
4418.000000 599.809998 318.519653 6.097437 -5.896406 0.205907
4486.000000 594.789978 318.960985 6.162412 -5.777929 0.505503
4548.399902 590.210022 319.294500 6.130855 -5.569323 0.585359
4617.600098 585.159973 319.555292 6.044150 -5.514924 0.972430
4692.399902 579.750000 319.680323 5.837063 -5.711885 1.007159
4760.899902 574.820007 319.852510 5.665145 -5.991777 0.314016
4825.000000 570.239990 320.197293 5.589763 -5.799117 0.101224
4899.100098 564.989990 320.515229 5.439662 -5.392600 0.282614
4966.399902 560.250000 320.839614 5.225626 -5.072062 0.533095
5042.399902 554.940002 321.252705 4.993681 -5.432286 0.860389
5110.399902 550.219971 321.456828 4.670934 -5.996345 0.209397
5187.399902 544.919983 322.192848 4.660548 -7.190133 -0.376819
5262.500000 539.799988 322.920353 4.650546 -7.703969 -1.220189
5331.700195 535.109985 323.176853 4.525897 -7.484539 -1.319726
5410.200195 529.830017 323.386750 4.340043 -7.245587 -0.889646
5479.100098 525.229980 323.388446 4.120135 -7.427011 -1.043798
5557.000000 520.070007 323.784040 4.002071 -6.716281 -1.063754
5631.899902 515.150024 324.326546 4.002997 -5.698963 -1.527032
5711.299805 509.989990 325.200605 4.000264 -4.984693 -2.324400
5792.100098 504.769989 325.769349 3.959730 -4.341506 -3.039955
5863.100098 500.230011 326.233909 3.799085 -3.906826 -3.278217
5948.899902 494.799988 327.057688 3.701472 -2.828427 -2.828427
6024.899902 490.029999 328.123999 3.727292 -2.296206 -2.641484
6102.100098 485.230011 328.212445 3.553310 -1.785418 -2.285231
6184.200195 480.160004 328.348400 3.399910 -1.500396 -1.608978
6270.799805 474.859985 328.538150 3.244585 -1.631354 -0.760713
6347.399902 470.200012 328.659149 3.108845 -2.098721 0.073289
6436.500000 464.839996 329.053390 3.059361 -2.707383 1.039267
6517.299805 460.010010 329.150878 2.926693 -2.966988 1.198741
6602.600098 454.959991 329.665115 2.846574 -1.786583 -0.219365
6686.000000 450.070007 330.031741 2.727212 -0.436615 -2.054110
6776.000000 444.839996 330.745524 2.621941 0.188343 -2.693423
6863.100098 439.829987 331.388144 2.459172 -0.264429 -1.881509
6944.200195 435.200012 332.442878 2.334630 -1.049694 -1.207535
7035.700195 430.049988 333.334247 2.194253 -1.835259 -0.491756
7125.100098 425.070007 333.884044 2.015730 -1.634919 -1.472087
7213.600098 420.179993 334.439265 1.892586 -0.282227 -2.685209
7312.000000 414.799988 334.747604 1.719252 -0.223221 -3.192205
7398.200195 410.130005 334.929660 1.559246 0.157008 -2.995889
7492.500000 405.070007 335.045686 1.405248 -0.000000 -3.000000
7587.000000 400.049988 335.332600 1.298210 -0.296330 -3.387062
7683.000000 395.000000 335.848335 1.267523 -0.061083 -3.499467
7782.500000 389.809998 336.073282 1.244795 -0.129128 -3.697746
7873.899902 385.100006 336.481268 1.248871 0.320880 -4.588795
7974.000000 379.989990 336.674115 1.236868 -0.000000 -4.700000
8076.600098 374.799988 337.033862 1.197515 0.099479 -5.699131
8176.500000 369.799988 337.306992 1.155865 0.000000 -6.300000
8272.299805 365.059998 337.392745 1.102917 -0.439466 -6.284654
8373.700195 360.089996 337.672921 1.054134 -0.670281 -5.459004
8481.200195 354.890015 338.703416 1.052373 -1.730495 -5.325916
8583.599609 349.989990 339.107226 1.017269 -1.488442 -5.190813
8685.799805 345.149994 339.538132 0.993612 -1.304716 -5.651347
8798.900391 339.869995 339.757998 0.943507 -0.918542 -6.535769
8900.500000 335.160004 339.872255 0.902737 -1.093984 -6.204289
9008.099609 330.239990 339.884549 0.872532 -1.417192 -6.138532
9124.200195 324.980011 340.096762 0.859686 -2.097797 -5.192229
9236.599609 319.959991 340.117735 0.828153 -2.543612 -4.070631
9347.400391 315.049988 340.094284 0.781673 -2.542696 -2.823950
9462.400391 310.019989 340.250973 0.745256 -2.331438 -1.887961
9581.500000 304.869995 340.493879 0.698419 -1.845075 -1.198206
9694.599609 300.049988 340.976377 0.652398 -0.684703 -0.145538
9813.000000 295.070007 341.633514 0.614841 -0.672883 -0.192946
9935.299805 289.989990 341.837896 0.550062 -0.754710 -0.656059
10058.200195 284.950012 342.524587 0.502559 -0.978148 -0.207912
10179.599609 280.040009 342.978875 0.450273 -1.785416 0.649838
10309.500000 274.859985 343.092893 0.387764 -2.101155 0.935494
10432.599609 270.029999 343.454860 0.351570 -2.400069 1.442107
10562.099609 265.010010 343.708906 0.317260 -2.186549 1.212024
10691.299805 260.070007 343.946092 0.285422 -1.963254 0.381618
10827.599609 254.940002 344.639379 0.263796 -2.174693 0.748807
10960.799805 250.000000 344.848409 0.228655 -2.198660 -0.076779
11100.500000 244.889999 344.916710 0.195270 -1.141268 -0.370820
11236.400391 240.000000 345.166840 0.170566 -2.600000 -0.000000
11376.500000 235.039993 345.312339 0.144059 -3.870930 0.475290
11519.400391 230.050003 346.036784 0.129201 -3.978212 0.991880
11669.400391 224.910004 346.517483 0.110054 -3.600409 3.021101
11818.599609 219.889999 346.648360 0.090568 -3.419442 2.769010
11965.400391 215.029999 347.085672 0.077659 -1.751130 2.914369
12120.900391 209.970001 347.269144 0.067603 -1.102550 3.845047
12277.400391 204.960007 347.912861 0.061571 -0.667832 3.435695
12432.299805 200.100006 347.694179 0.053302 -0.538309 3.052904
12598.099609 194.990005 348.040843 0.043828 -0.991858 2.725109
12764.500000 189.949997 348.083680 0.037076 -1.260505 2.274011
12935.000000 184.889999 348.690603 0.032827 -1.470526 2.264410
13099.599609 180.110001 349.287137 0.030095 0.260472 1.477212
13281.000000 174.960007 350.171253 0.027241 1.458782 1.510614
13459.400391 170.000000 350.638966 0.021898 0.204660 0.669413
13644.299805 164.979996 352.149850 0.018531 -0.000000 -0.500000
13829.299805 160.080002 352.581211 0.014515 2.698355 -0.094229
14025.200195 155.020004 353.294616 0.011292 3.347067 -1.023301
14225.000000 150.000000 356.445639 0.011508 6.051319 -2.083636
14433.099609 144.919998 357.385415 0.009373 9.164991 0.801833
14642.799805 139.940002 357.712445 0.007169 9.746315 1.024379
14859.799805 134.919998 358.116859 0.005329 8.987965 1.423554
15075.599609 130.059998 358.685314 0.003961 7.629551 1.621711
15307.900391 124.989998 360.466097 0.003535 3.546048 2.770477
15547.400391 119.940002 362.137309 0.003017 -0.746687 4.234674
15790.500000 114.980003 365.385190 0.002908 -2.767613 1.797309
16046.799805 109.970001 367.681112 0.002529 -1.761208 -1.143742
