       z      u      v  theta rv
    0.00   0.00   0.00 296.00 0.0112
   76.00   0.00  -2.00 297.00 0.0111
  124.00   0.00  -1.50 298.00 0.0110
  174.00   0.00  -1.00 298.30 0.0109
  225.00   0.00  -0.50 298.60 0.0108
  274.00   0.00  -0.50 299.00 0.0107
  325.00   0.00  -1.00 299.30 0.0105
  375.00   0.00  -1.50 299.60 0.0103
  425.00   0.00  -2.00 300.00 0.0100
  475.00   0.00  -2.50 300.30 0.0098
  525.00   0.00  -3.00 300.60 0.0096
  574.00  -0.50  -3.00 301.00 0.0094
  624.00  -1.00  -3.00 301.30 0.0091
  674.00  -1.50  -3.00 301.50 0.0088
  725.00  -2.00  -3.50 301.70 0.0085
  774.00  -2.00  -4.00 302.00 0.0082
  825.00  -2.00  -4.00 302.10 0.0079
  874.00  -2.20  -4.00 302.30 0.0076
  925.00  -2.50  -4.00 302.40 0.0073
  974.00  -2.70  -4.00 302.60 0.0070
 1025.00  -3.00  -4.00 302.70 0.0067
 1075.00  -3.00  -4.50 302.90 0.0064
 1125.00  -3.00  -5.00 303.00 0.0061
 1175.00  -3.00  -5.00 303.50 0.0058
 1225.00  -2.70  -5.00 304.00 0.0055
 1275.00  -2.50  -5.00 304.50 0.0053
 1324.00  -2.20  -4.50 305.00 0.0051
 1374.00  -1.50  -4.00 305.20 0.0050
 1424.00  -1.00  -4.00 305.40 0.0050
 1474.00  -0.70  -4.00 305.60 0.0050
 1524.00  -0.50  -3.50 305.80 0.0049
 1575.00  -0.20  -3.00 306.00 0.0049
 1625.00   0.00  -3.00 306.20 0.0049
 1675.00   0.20  -3.50 306.40 0.0049
 1725.00   0.50  -4.00 306.60 0.0049
 1774.00   0.70  -5.00 306.80 0.0048
 1825.00   1.00  -5.80 307.00 0.0048
 1874.00   1.00  -6.30 307.00 0.0048
 1924.00   1.00  -7.00 307.10 0.0048
 1974.00   1.00  -7.50 307.30 0.0048
 2025.00   1.00  -8.00 307.40 0.0048
 2075.00   1.00  -8.50 307.60 0.0048
 2124.00   1.00  -9.00 307.70 0.0048
 2176.00   1.00  -9.50 307.80 0.0047
 2225.00   1.50 -10.00 307.90 0.0047
 2275.00   2.00 -10.00 308.00 0.0047
 2325.00   2.50 -10.00 308.20 0.0047
 2375.00   3.00 -10.00 308.40 0.0047
 2426.00   3.00 -10.20 308.60 0.0047
 2475.00   3.50 -10.50 308.80 0.0047
 2524.00   4.00 -10.70 309.00 0.0046
 2575.00   5.00 -11.00 309.30 0.0046
 2624.00   6.00 -11.50 309.60 0.0046
 2675.00   7.00 -12.00 310.00 0.0046
 2725.00   8.00 -11.50 310.50 0.0046
 2775.00   9.00 -11.00 311.00 0.0046
 2824.00   9.50 -10.50 311.20 0.0046
 2875.00  10.00 -10.00 311.40 0.0046
 2923.00  11.00 -10.00 311.60 0.0046
 2974.00  12.00  -9.50 311.80 0.0046
 3024.00  13.00  -9.00 312.00 0.0046
 3075.00  14.00  -9.00 312.50 0.0045
 3125.00  15.00  -8.50 313.00 0.0045
 3176.00  15.50  -8.00 313.50 0.0045
 3225.00  16.00  -8.00 314.00 0.0045
 3275.00  16.50  -8.00 314.20 0.0045
 3324.00  17.00  -8.00 314.40 0.0045
 3375.00  17.50  -8.20 314.60 0.0045
 3424.00  18.00  -8.50 314.80 0.0045
 3475.00  18.20  -8.70 315.00 0.0044
 3525.00  18.50  -9.00 315.30 0.0043
 3574.00  18.70  -9.50 315.60 0.0042
 3625.00  19.00 -10.00 316.00 0.0041
 3675.00  19.50 -10.50 316.20 0.0039
 3723.00  20.00 -11.00 316.40 0.0037
 3774.00  20.00 -12.00 316.60 0.0036
 3824.00  20.00 -12.00 316.80 0.0035
 3873.00  20.00 -12.00 317.00 0.0033
 3924.00  20.00 -12.00 317.20 0.0031
 3974.00  20.00 -12.00 317.40 0.0030
 4025.00  19.50 -12.00 317.60 0.0030
 4075.00  19.00 -12.00 317.80 0.0029
 4125.00  19.00 -12.00 318.00 0.0028
 4175.00  19.00 -12.00 318.30 0.0027
 4218.00  19.00 -12.00 318.60 0.0025
 4274.90  19.00 -12.00 318.80 0.0024
 4325.60  19.00 -12.00 319.10 0.0023
 4374.50  19.00 -12.00 319.60 0.0021
 4425.70  19.00 -12.00 320.00 0.0017
 4474.90  19.00 -12.00 320.50 0.0015
 4525.60  19.00 -12.00 321.00 0.0015
 4574.50  19.00 -12.00 321.30 0.0008
 4625.00  19.00 -12.00 321.60 0.0002
 4674.50  19.00 -12.00 322.00 0.0002
 4724.80  19.00 -12.00 323.00 0.0002
 4774.90  19.00 -12.00 324.00 0.0001
 4823.40  19.00 -12.00 325.00 0.0001
 4874.50  19.00 -12.00 325.30 0.0001
 4925.30  19.00 -12.00 325.50 0.0001
 4974.50  19.00 -12.00 325.60 0.0001
