       z     ug     vg        w    theta_adv       rv_adv
# Forcing time:    0.0
   16.00  -0.50  -2.60   0.0000  -0.00004000  -0.00000002
   51.40  -0.60  -2.70   0.0000  -0.00004000  -0.00000002
   86.90  -0.90  -2.80   0.0000  -0.00004000  -0.00000003
  122.60  -1.10  -2.70   0.0000  -0.00004000  -0.00000003
  158.40  -1.30  -2.70   0.0000  -0.00004000  -0.00000003
  212.30  -1.50  -2.60   0.0000  -0.00004000  -0.00000003
  284.70  -1.80  -2.40  -0.0050  -0.00004000  -0.00000003
  357.70  -2.20  -2.00  -0.0100  -0.00004000  -0.00000003
  431.20  -2.30  -1.60  -0.0100  -0.00004000  -0.00000003
  505.20  -2.20  -1.50  -0.0100  -0.00003000  -0.00000003
  579.90  -2.00  -1.50  -0.0100  -0.00002000  -0.00000003
  655.10  -1.80  -1.50  -0.0100  -0.00002000  -0.00000003
  769.00  -1.40  -1.90  -0.0100  -0.00002000  -0.00000003
  923.10  -0.90  -2.50  -0.0100  -0.00002000  -0.00000003
 1079.80  -0.60  -3.20  -0.0100  -0.00002000  -0.00000005
 1239.00  -0.50  -3.90  -0.0100  -0.00002000  -0.00000006
 1401.00  -1.00  -4.40  -0.0100  -0.00002000  -0.00000007
 1586.60  -1.90  -5.10  -0.0100  -0.00002000  -0.00000008
 1797.20  -2.40  -5.80  -0.0100  -0.00003000  -0.00000009
 2122.20  -1.30  -6.30  -0.0100  -0.00007000  -0.00000007
 2574.10   2.30  -7.50  -0.0100  -0.00008000  -0.00000006
 3049.30   6.20 -10.10  -0.0100  -0.00010000  -0.00000000
 3811.90  12.10 -12.70  -0.0050  -0.00007000   0.00000000
 4500.00  19.00 -15.00   0.0000  -0.00005000  -0.00000000
# Forcing time: 10800.0
   16.00  -0.90  -2.30   0.0000  -0.00004000  -0.00000004
   51.40  -0.90  -2.30   0.0000  -0.00004000  -0.00000004
   86.90  -0.90  -2.30   0.0000  -0.00004000  -0.00000004
  122.60  -0.90  -2.30   0.0000  -0.00004000  -0.00000004
  158.40  -0.80  -2.30   0.0000  -0.00004000  -0.00000004
  212.30  -0.80  -2.30   0.0000  -0.00004000  -0.00000004
  284.70  -0.80  -2.30  -0.0000  -0.00004000  -0.00000004
  357.70  -0.80  -2.20  -0.0000  -0.00004000  -0.00000004
  431.20  -0.80  -2.20  -0.0000  -0.00004000  -0.00000003
  505.20  -0.80  -2.00  -0.0030  -0.00004000  -0.00000003
  579.90  -0.70  -1.80  -0.0060  -0.00003000  -0.00000003
  655.10  -0.50  -1.70  -0.0100  -0.00003000  -0.00000003
  769.00  -0.00  -1.50  -0.0100  -0.00002000  -0.00000002
  923.10   0.50  -1.50  -0.0100  -0.00002000  -0.00000002
 1079.80   0.70  -1.40  -0.0100  -0.00001000  -0.00000002
 1239.00   0.40  -1.30  -0.0100  -0.00000000  -0.00000002
 1401.00  -0.10  -1.60  -0.0100  -0.00001000  -0.00000001
 1586.60   0.10  -2.70  -0.0100  -0.00003000  -0.00000001
 1797.20   0.90  -4.10  -0.0100  -0.00004000  -0.00000002
 2122.20   2.30  -5.30  -0.0100  -0.00005000  -0.00000005
 2574.10   5.00  -6.70  -0.0100  -0.00006000  -0.00000002
 3049.30   7.30  -9.80  -0.0100  -0.00010000   0.00000004
 3811.90  12.10 -11.50  -0.0050  -0.00007000   0.00000001
 4500.00  17.00 -14.00   0.0000  -0.00005000   0.00000000
# Forcing time: 21600.0
   16.00  -3.80  -0.80   0.0000  -0.00004000  -0.00000002
   51.40  -3.80  -0.70   0.0000  -0.00004000  -0.00000002
   86.90  -3.80  -0.70   0.0000  -0.00004000  -0.00000002
  122.60  -3.80  -0.70   0.0000  -0.00004000  -0.00000002
  158.40  -3.80  -0.70   0.0000  -0.00004000  -0.00000002
  212.30  -3.70  -0.60   0.0000  -0.00004000  -0.00000002
  284.70  -3.70  -0.60  -0.0000  -0.00004000  -0.00000002
  357.70  -3.60  -0.60  -0.0000  -0.00003000  -0.00000002
  431.20  -3.60  -0.50  -0.0000  -0.00003000  -0.00000002
  505.20  -3.50  -0.40  -0.0000  -0.00003000  -0.00000001
  579.90  -3.50  -0.40  -0.0010  -0.00003000  -0.00000001
  655.10  -3.40  -0.30  -0.0020  -0.00003000  -0.00000001
  769.00  -3.20  -0.20  -0.0040  -0.00002000  -0.00000001
  923.10  -2.90   0.10  -0.0060  -0.00002000  -0.00000000
 1079.80  -2.40   0.40  -0.0080  -0.00001000   0.00000000
 1239.00  -1.50   0.90  -0.0100   0.00000000   0.00000001
 1401.00  -0.40   1.50  -0.0100  -0.00001000   0.00000002
 1586.60   1.30   1.00  -0.0100  -0.00002000   0.00000006
 1797.20   2.50  -0.80  -0.0100  -0.00005000   0.00000008
 2122.20   2.70  -2.80  -0.0100  -0.00003000  -0.00000002
 2574.10   4.40  -4.10  -0.0100  -0.00004000  -0.00000005
 3049.30   7.40  -5.80  -0.0100  -0.00011000  -0.00000001
 3811.90   9.90 -10.20  -0.0050  -0.00008000   0.00000001
 4500.00  13.00 -14.00   0.0000  -0.00005000   0.00000000
