    time    shf    lhf
     0.0   5.00  22.00
  3600.0  35.00  64.00
  7200.0  80.00  87.50
 10800.0 126.00 113.00
 14400.0 149.00 135.00
 18000.0 172.00 153.00
 21600.0 197.00 168.00
 25200.0 214.00 179.00
 28800.0 203.00 166.00
 32400.0 188.00 149.00
 36000.0 150.00 128.00
 39600.0  87.00  83.00
 43200.0  31.00  50.00
 46800.0   6.00  30.00
 50400.0  -5.00  32.00
 54000.0 -10.00  16.00
 57600.0  -4.00   0.00
 61200.0  -2.00   0.00
 64800.0 -13.00   2.00
 68400.0 -14.00   3.00
 72000.0  -7.00   0.00
 75600.0 -11.00   0.00
 79200.0 -13.00   0.00
 82800.0  -4.00   0.00
