# t(s)      H (W m-2)      LE (W m-2)
     0.     10.            150.0
 21600.     10.            150.0
 43200.     10.            150.0
 64800.     12.5           187.5
 86400.     15.            225.0
108000.     17.5           262.5
129600.     20.            300.0
151200.     20.            300.0
172800.     20.            300.0
194400.     20.            300.0
216000.     20.            300.0
237600.     20.            300.0
259200.     20.            300.0
280800.     20.            300.0
302400.     20.            300.0
324000.     20.            300.0
345600.     20.            300.0
367200.     20.            300.0
388800.     20.            300.0
410400.     20.            300.0
432000.     20.            300.0
