       z  theta rv
    0.00 297.20 0.0178
   20.00 297.20 0.0178
   60.00 297.40 0.0177
  100.00 297.60 0.0177
  140.00 297.70 0.0176
  180.00 297.90 0.0176
  220.00 298.10 0.0175
  260.00 298.30 0.0175
  300.00 298.40 0.0174
  340.00 298.60 0.0174
  380.00 298.80 0.0173
  420.00 298.90 0.0173
  460.00 299.10 0.0172
  500.00 299.30 0.0172
  540.00 299.40 0.0171
  580.00 299.60 0.0171
  620.00 299.80 0.0170
  660.00 299.90 0.0170
  700.00 300.10 0.0169
  740.00 300.30 0.0169
  780.00 300.40 0.0168
  820.00 300.60 0.0167
  860.00 300.80 0.0165
  900.00 300.90 0.0163
  940.00 301.10 0.0161
  980.00 301.30 0.0158
 1020.00 301.40 0.0156
 1060.00 301.60 0.0154
 1100.00 301.80 0.0152
 1140.00 301.90 0.0150
 1180.00 302.10 0.0148
 1220.00 302.30 0.0146
 1260.00 302.50 0.0144
 1300.00 302.60 0.0142
 1340.00 302.80 0.0140
 1380.00 303.00 0.0138
 1420.00 303.10 0.0136
 1460.00 303.30 0.0134
 1500.00 303.50 0.0132
 1540.00 303.90 0.0125
 1580.00 304.30 0.0118
 1620.00 304.70 0.0111
 1660.00 305.10 0.0104
 1700.00 305.50 0.0098
 1740.00 305.90 0.0091
 1780.00 306.30 0.0084
 1820.00 306.70 0.0077
 1860.00 307.10 0.0070
 1900.00 307.50 0.0064
 1940.00 307.90 0.0057
 1980.00 308.30 0.0050
 2020.00 308.70 0.0044
 2060.00 309.10 0.0037
 2100.00 309.50 0.0030
 2140.00 309.90 0.0030
 2180.00 310.30 0.0030
 2220.00 310.60 0.0030
 2260.00 310.70 0.0030
 2300.00 310.80 0.0030
 2340.00 310.80 0.0030
 2380.00 310.90 0.0030
 2420.00 311.00 0.0030
 2460.00 311.10 0.0030
 2500.00 311.20 0.0030
 2540.00 311.20 0.0030
 2580.00 311.30 0.0030
 2620.00 311.40 0.0030
 2660.00 311.50 0.0030
 2700.00 311.60 0.0030
 2740.00 311.60 0.0030
 2780.00 311.70 0.0030
 2820.00 311.80 0.0030
 2860.00 311.90 0.0030
 2900.00 312.00 0.0030
 2940.00 312.00 0.0030
 2980.00 312.10 0.0030
 3020.00 312.20 0.0030
 3060.00 312.30 0.0030
 3100.00 312.40 0.0030
 3140.00 312.40 0.0030
 3180.00 312.50 0.0030
 3220.00 312.60 0.0030
 3260.00 312.70 0.0030
 3300.00 312.80 0.0030
 3340.00 312.80 0.0030
 3380.00 312.90 0.0030
 3420.00 313.00 0.0030
 3460.00 313.10 0.0030
 3500.00 313.20 0.0030
 3540.00 313.20 0.0030
 3580.00 313.30 0.0030
 3620.00 313.40 0.0030
 3660.00 313.50 0.0030
 3700.00 313.60 0.0030
 3740.00 313.60 0.0030
 3780.00 313.70 0.0030
 3820.00 313.80 0.0030
 3860.00 313.90 0.0030
 3900.00 314.00 0.0030
 3940.00 314.00 0.0030
 3980.00 314.10 0.0030
 4020.00 314.20 0.0030
 4060.00 314.30 0.0030
 4100.00 314.40 0.0030
 4140.00 314.40 0.0030
 4180.00 314.50 0.0030
 4220.00 314.60 0.0030
 4260.00 314.70 0.0030
 4300.00 314.80 0.0030
 4340.00 314.80 0.0030
 4380.00 314.90 0.0030
 4420.00 315.00 0.0030
 4460.00 315.10 0.0030
 4500.00 315.20 0.0030
 4540.00 315.20 0.0030
 4580.00 315.30 0.0030
 4620.00 315.40 0.0030
 4660.00 315.50 0.0030
 4700.00 315.60 0.0030
 4740.00 315.60 0.0030
 4780.00 315.70 0.0030
 4820.00 315.80 0.0030
 4860.00 315.90 0.0030
 4900.00 316.00 0.0030
 4940.00 316.00 0.0030
 4980.00 316.10 0.0030
