AROME initial profile

%===================================================================
Altitude   Pot. Temperature   Mixing ratio
(agl m)          (K)          (kg kg^{-1})
%===================================================================
0.    286.50           0.0090
10.   293.398826094744 0.0080603
32.   295.57717739982  0.0078225
61.   296.164935017657 0.0076367
98.   296.273620551539 0.0074418
142.  296.280012504567 0.0073613
194.  296.289232204193 0.0073176
253.  296.500136077123 0.0072621
319.  297.151547023306 0.0068558
393.  297.835973634395 0.0063792
473.  298.495968519213 0.0060418
562.  299.024008426888 0.0058019
658.  299.59640231864  0.0056288
762.  300.216902541683 0.0055041
873.  300.893440822102 0.0055218
993.  301.713652718613 0.0056309
1120. 302.403434078103 0.0058369
1256. 303.305501095878 0.0060417
1401. 304.055309399771 0.0062524
1553. 304.724161424112 0.0064036
1710. 305.416465770455 0.0064076
1872. 306.1028115042   0.006209
2039. 306.786745392729 0.0059755
2212. 307.53181490084  0.0057641
2392. 308.449643105031 0.0054048
2578. 309.645374149018 0.0048465
2772. 311.120486005234 0.0042012
2975. 312.831316247402 0.0035779
3186. 314.659639254113 0.0030788
3407. 316.362663353519 0.0027371
3638. 317.898739636354 0.002553
3879. 319.376922726448 0.002471
