Initial profile at 0515 UTC

%===================================================================
Altitude   Pot. Temperature   Mixing ratio       u             v
(agl m)          (K)          (g kg^{-1})    (m s^{-1})  (m s^{-1})
%===================================================================
12           292.98           8.30           1.57           2.38
24           293.33           8.27           1.66           2.31
36           293.68           8.24           1.75           2.24
48           294.02           8.21           1.84           2.17
60           294.37           8.18           1.93           2.09
72           294.72           8.15           2.01           2.01
84           295.07           8.12           2.09           1.92
96           295.42           8.09           2.16           1.83
108           295.77           8.06           2.24           1.74
120           296.12           8.04           2.30           1.65
132           296.45           8.01           2.37           1.55
144           296.73           7.98           2.43           1.45
156           296.90           7.95           2.48           1.35
168           297.00           7.92           2.53           1.25
180           297.07           7.89           2.58           1.14
192           297.13           7.86           2.62           1.04
204           297.20           7.83           2.66           0.93
216           297.27           7.80           2.70           0.82
228           297.34           7.77           2.73           0.71
240           297.41           7.74           2.75           0.60
252           297.48           7.71           2.77           0.48
264           297.55           7.68           2.79           0.37
276           297.62           7.65           2.80           0.26
288           297.69           7.62           2.81           0.14
300           297.76           7.59           2.81           0.03
312           297.83           7.56           2.81           -0.09
324           297.90           7.53           2.80           -0.20
336           297.97           7.50           2.81           -0.30
348           298.04           7.48           2.84           -0.36
360           298.11           7.45           2.89           -0.39
372           298.18           7.42           2.95           -0.41
384           298.25           7.39           3.01           -0.42
396           298.32           7.36           3.07           -0.42
408           298.39           7.33           3.13           -0.43
420           298.46           7.30           3.19           -0.44
432           298.53           7.27           3.25           -0.45
444           298.60           7.24           3.31           -0.46
456           298.67           7.21           3.37           -0.47
468           298.73           7.18           3.43           -0.48
480           298.80           7.15           3.49           -0.48
492           298.87           7.12           3.55           -0.49
504           298.94           7.09           3.61           -0.50
516           299.01           7.06           3.67           -0.51
528           299.08           7.03           3.73           -0.52
540           299.15           7.00           3.79           -0.53
552           299.22           6.97           3.85           -0.54
564           299.29           6.94           3.91           -0.54
576           299.36           6.91           3.97           -0.55
588           299.43           6.89           4.03           -0.56
600           299.50           6.86           4.08           -0.57
612           299.57           6.83           4.14           -0.58
624           299.64           6.80           4.20           -0.59
636           299.71           6.77           4.26           -0.60
648           299.78           6.74           4.32           -0.61
660           299.85           6.71           4.38           -0.61
672           299.92           6.68           4.44           -0.62
684           299.99           6.65           4.50           -0.63
696           300.06           6.62           4.56           -0.64
708           300.13           6.59           4.62           -0.65
720           300.20           6.56           4.68           -0.66
732           300.27           6.53           4.74           -0.67
744           300.33           6.50           4.80           -0.68
756           300.40           6.47           4.86           -0.69
768           300.47           6.44           4.92           -0.69
780           300.54           6.41           4.98           -0.70
792           300.61           6.38           5.04           -0.71
804           300.68           6.35           5.10           -0.72
816           300.75           6.32           5.16           -0.73
