# Pressure        Temperature     Dew-point temperature 
  98873.93        299.14          289.36              
  97757.27        298.32          289.2
  96650.23        297.52          289.04
  95552.82        296.73          288.88
  94465.03        295.96          288.72
  93386.84        295.19          288.56
  92318.21        294.43          288.4
  91259.12        293.68          288.23
  90209.53        292.94          288.07
  89169.39        292.2           287.9
  88138.66        291.46          287.74
  87117.3         290.73          287.57
  86105.27        290.01          287.4
  85102.51        289.29          287.24
  84108.97        288.57          287.07
  83124.61        287.85          286.89
  82149.23        287.14          286.11
  81182.66        286.43          285.33
  80224.87        285.73          284.55
  79275.82        285.03          283.77
  78335.46        284.32          282.99
  77403.76        283.62          282.22
  76480.67        282.93          281.44
  75566.16        282.23          280.67
  74660.18        281.54          279.9
  73762.69        280.84          279.13
  72873.63        280.15          278.36
  71992.97        279.46          277.59
  71120.67        278.78          276.83
  70256.66        278.09          276.06
  69400.91        277.4           275.3
  68553.37        276.72          274.54
  67713.98        276.04          273.77
  66882.71        275.35          273.01
  66059.5         274.67          272.25
  65244.3         273.99          271.49
  64437.06        273.31          270.73
  63637.73        272.63          269.97
  62846.27        271.96          269.21
  62062.61        271.28          268.45
  61286.72        270.6           267.69
  60518.53        269.93          266.93
  59758.0         269.25          266.18
  59005.08        268.58          265.42
  58259.71        267.9           264.66
  57521.84        267.23          263.91
  56791.43        266.56          263.15
  56068.41        265.88          262.4
  55352.74        265.21          261.64
  54644.36        264.54          260.88
  53943.23        263.87          260.13
  53249.28        263.19          259.37
  52562.48        262.52          258.62
  51882.76        261.85          257.86
  51210.08        261.18          257.11
  50544.38        260.51          256.35
  49885.61        259.84          255.6
  49233.72        259.17          254.84
  48588.66        258.5           254.09
  47950.37        257.83          253.33
  47318.8         257.16          252.58
  46693.91        256.49          251.82
  46075.64        255.82          251.06
  45463.94        255.15          250.31
  44858.75        254.48          249.55
  44260.04        253.81          248.79
  43667.74        253.14          248.04
  43081.8         252.47          247.28
  42502.18        251.8           246.52
  41928.82        251.13          245.76
  41361.68        250.46          245.0
  40800.7         249.79          244.25
  40245.84        249.12          243.49
  39697.04        248.45          242.73
  39154.26        247.77          241.97
  38617.44        247.1           241.2
  38086.53        246.43          240.44
  37561.5         245.76          239.68
  37042.28        245.09          238.92
  36528.83        244.41          238.15
  36021.1         243.74          237.39
  35519.05        243.07          236.62
  35022.62        242.4           235.86
  34531.77        241.72          235.09
  34046.45        241.05          234.32
  33566.61        240.37          233.56
  33092.21        239.7           232.79
  32623.2         239.02          232.02
  32159.53        238.35          231.24
  31701.16        237.67          230.47
  31248.03        237.0           229.7
  30800.11        236.32          228.92
  30357.35        235.64          228.15
  29919.71        234.97          227.37
  29487.13        234.29          226.59
  29059.57        233.61          225.81
  28637.0         232.93          225.03
  28219.36        232.25          224.25
  27806.61        231.57          223.46
  27398.7         230.89          222.68
  26995.6         230.21          221.89
  26597.26        229.53          221.1
  26203.64        228.85          220.31
  25814.69        228.16          219.52
  25430.37        227.48          218.72
  25050.64        226.8           217.92
  24675.46        226.11          217.13
  24304.79        225.43          216.32
  23938.57        224.74          215.52
  23576.79        224.06          214.71
  23219.38        223.37          213.9
  22866.31        222.68          213.09
  22517.55        221.99          212.28
  22173.04        221.31          211.46
  21832.76        220.62          210.64
  21496.66        219.93          209.81
  21164.69        219.24          208.99
  20836.83        218.55          208.15
  20513.04        217.85          207.32
  20193.27        217.16          206.48
  19878.0         217.18          206.49
  19567.67        217.2           206.51
  19262.22        217.22          206.53
  18961.57        217.24          206.54
  18665.63        217.26          206.56
  18374.34        217.28          206.58
  18087.62        217.3           206.6
  17805.4         217.32          206.61
  17527.61        217.34          206.63
  17254.18        217.36          206.65
  16985.04        217.38          206.67
  16720.12        217.4           206.69
  16459.35        217.42          206.7
  16202.68        217.44          206.72
  15950.03        217.46          206.74
  15701.35        217.48          206.76
  15456.57        217.5           206.78
  15215.62        217.52          206.79
  14978.46        217.54          206.81
  14745.01        217.56          206.83
  14515.22        217.58          206.85
  14289.04        217.6           206.87
  14066.4         217.62          206.89
  13847.25        217.65          206.91
  13631.54        217.67          206.93
  13419.21        217.69          206.94
  13210.21        217.71          206.96
  13004.48        217.73          206.98
  12801.98        217.75          207.0
  12602.64        217.77          207.02
  12406.44        217.8           207.04
  12213.3         217.82          207.06
  12023.2         217.84          207.08
  11836.07        217.86          207.1
  11651.87        217.89          207.12
  11470.56        217.91          207.14
  11292.09        217.93          207.16
  11116.41        217.95          207.18
  10943.48        217.98          207.2
  10773.26        218.0           207.22
  10605.71        218.02          207.24
  10440.78        218.05          207.26
  10278.43        218.07          207.28
  10118.62        218.09          207.3
  9961.32         218.12          207.32
  9806.48         218.14          207.34
  9654.06         218.16          207.37
  9504.02         218.19          207.39
  9356.33         218.21          207.41
  9210.96         218.23          207.43
  9067.86         218.26          207.45
  8926.99         218.28          207.47
  8788.34         218.31          207.49
  8651.85         218.33          207.52
  8517.49         218.36          207.54
  8385.24         218.38          207.56
  8255.05         218.41          207.58
  8126.9          218.43          207.6
  8000.76         218.45          207.63
  7876.58         218.48          207.65
  7754.35         218.51          207.67
  7634.03         218.53          207.69
  7515.59         218.56          207.72
  7399.0          218.58          207.74
  7284.23         218.61          207.76
  7171.25         218.63          207.78
  7060.05         218.66          207.81
  6950.57         218.69          207.83
  6842.81         218.71          207.85
  6736.74         218.74          207.88
  6632.32         218.76          207.9
  6529.53         218.79          207.92
  6428.34         218.82          207.95
  6328.74         218.84          207.97
  6230.69         218.87          208.0
  6134.17         218.9           208.02
  6039.16         218.93          208.04
  5945.63         218.95          208.07
  5853.57         218.98          208.09
  5762.94         219.01          208.12
  5673.72         219.03          208.14
  5585.9          219.06          208.17
  5499.44         219.09          208.19
  5414.34         219.12          208.22

